iteration, fitness, params
0,0.00278173145895,"[ 0.6014729   0.55897736  0.39406443  0.44748223  0.52969576  0.93456313
  0.21141337  0.08607662  0.87701892  0.46718311  0.57994261  0.12846276
  0.15545862  0.85478429  0.27438324]"
1,0.00337436305828,"[0.15240599216082101, 0.47879327795404247, 0.25821267778026546, 0.7113416648185462, 0.8191440295575251, 0.20541017549750329, 0.5077528786996692, 0.041550045196854513, 0.022744710860312267, 0.18767612807322565, 0.5785455402693408, 0.06574877214440844, 0.6945422799287162, 0.18399443450976405, 0.19462091440888007]"
2,0.00337436305828,"[0.15240599216082101, 0.47879327795404247, 0.25821267778026546, 0.7113416648185462, 0.8191440295575251, 0.20541017549750329, 0.5077528786996692, 0.041550045196854513, 0.022744710860312267, 0.18767612807322565, 0.5785455402693408, 0.06574877214440844, 0.6945422799287162, 0.18399443450976405, 0.19462091440888007]"
3,0.00337436305828,"[0.15240599216082101, 0.47879327795404247, 0.25821267778026546, 0.7113416648185462, 0.8191440295575251, 0.20541017549750329, 0.5077528786996692, 0.041550045196854513, 0.022744710860312267, 0.18767612807322565, 0.5785455402693408, 0.06574877214440844, 0.6945422799287162, 0.18399443450976405, 0.19462091440888007]"
4,0.00337436305828,"[0.15240599216082101, 0.47879327795404247, 0.25821267778026546, 0.7113416648185462, 0.8191440295575251, 0.20541017549750329, 0.5077528786996692, 0.041550045196854513, 0.022744710860312267, 0.18767612807322565, 0.5785455402693408, 0.06574877214440844, 0.6945422799287162, 0.18399443450976405, 0.19462091440888007]"
5,0.00376634181757,"[0.19474980794129249, 0.4833004895107973, 0.52217053627873211, 0.70779638719811555, 0.053977313615335587, 0.41048857821036366, 0.2935835582023236, 0.03117589856145342, 0.28485185335227792, 0.6472712422349699, 0.79311947600500599, 0.22417451599038729, 0.12284879460201159, 0.9960067715893401, 0.011582620196885052]"
6,0.00376634181757,"[0.19474980794129249, 0.4833004895107973, 0.52217053627873211, 0.70779638719811555, 0.053977313615335587, 0.41048857821036366, 0.2935835582023236, 0.03117589856145342, 0.28485185335227792, 0.6472712422349699, 0.79311947600500599, 0.22417451599038729, 0.12284879460201159, 0.9960067715893401, 0.011582620196885052]"
7,0.00376634181757,"[0.19474980794129249, 0.4833004895107973, 0.52217053627873211, 0.70779638719811555, 0.053977313615335587, 0.41048857821036366, 0.2935835582023236, 0.03117589856145342, 0.28485185335227792, 0.6472712422349699, 0.79311947600500599, 0.22417451599038729, 0.12284879460201159, 0.9960067715893401, 0.011582620196885052]"
8,0.00376634181757,"[0.19474980794129249, 0.4833004895107973, 0.52217053627873211, 0.70779638719811555, 0.053977313615335587, 0.41048857821036366, 0.2935835582023236, 0.03117589856145342, 0.28485185335227792, 0.6472712422349699, 0.79311947600500599, 0.22417451599038729, 0.12284879460201159, 0.9960067715893401, 0.011582620196885052]"
9,0.00377816634604,"[0.15739458348187918, 0.387843309547245, 0.75169366120864867, 0.1768282845431815, 0.36520865793043944, 0.8215094505406424, 0.17753288903184106, 0.21318855264187525, 0.42457615063355142, 0.10815587466866494, 1.0, 0.2259648022771905, 0.34756093986732645, 0.25011945917666062, 1.0]"
