iteration, fitness, params
0,0.00406232892593,"[ 0.42209261  0.31574382  0.72983912  0.19217518  0.27512624  0.17202756
  0.15256798  0.08598636  0.23270635  0.73123014  0.70984795  0.46616108
  0.95901359  0.3037341   0.581785  ]"
1,0.00406232892593,"[ 0.42209261  0.31574382  0.72983912  0.19217518  0.27512624  0.17202756
  0.15256798  0.08598636  0.23270635  0.73123014  0.70984795  0.46616108
  0.95901359  0.3037341   0.581785  ]"
2,0.00406232892593,"[ 0.42209261  0.31574382  0.72983912  0.19217518  0.27512624  0.17202756
  0.15256798  0.08598636  0.23270635  0.73123014  0.70984795  0.46616108
  0.95901359  0.3037341   0.581785  ]"
3,0.0042869164407,"[0.14604955574778788, 0.30251978562020077, 0.2961111992724256, 0.47096546302105535, 0.25415039880993456, 0.6958514957783265, 0.1030844220494973, 0.12178454336817729, 0.413077402074433, 0.60516511432339382, 0.94964867503042916, 0.38023496341279184, 0.42731674095865657, 0.46459502256424295, 0.1645512986474475]"
4,0.0042869164407,"[0.14604955574778788, 0.30251978562020077, 0.2961111992724256, 0.47096546302105535, 0.25415039880993456, 0.6958514957783265, 0.1030844220494973, 0.12178454336817729, 0.413077402074433, 0.60516511432339382, 0.94964867503042916, 0.38023496341279184, 0.42731674095865657, 0.46459502256424295, 0.1645512986474475]"
5,0.0042869164407,"[0.14604955574778788, 0.30251978562020077, 0.2961111992724256, 0.47096546302105535, 0.25415039880993456, 0.6958514957783265, 0.1030844220494973, 0.12178454336817729, 0.413077402074433, 0.60516511432339382, 0.94964867503042916, 0.38023496341279184, 0.42731674095865657, 0.46459502256424295, 0.1645512986474475]"
6,0.0042869164407,"[0.14604955574778788, 0.30251978562020077, 0.2961111992724256, 0.47096546302105535, 0.25415039880993456, 0.6958514957783265, 0.1030844220494973, 0.12178454336817729, 0.413077402074433, 0.60516511432339382, 0.94964867503042916, 0.38023496341279184, 0.42731674095865657, 0.46459502256424295, 0.1645512986474475]"
7,0.0042869164407,"[0.14604955574778788, 0.30251978562020077, 0.2961111992724256, 0.47096546302105535, 0.25415039880993456, 0.6958514957783265, 0.1030844220494973, 0.12178454336817729, 0.413077402074433, 0.60516511432339382, 0.94964867503042916, 0.38023496341279184, 0.42731674095865657, 0.46459502256424295, 0.1645512986474475]"
8,0.00557744642566,"[0.12865587361184971, 0.31478367708020183, 0.42354134619577788, 0.68024688360469121, 0.7065101858709308, 0.12228673768345211, 0.8875862820817054, 0.22604700862203742, 0.17276606720361531, 0.10705526031755691, 0.24321571650833168, 0.05661741989593594, 0.53241064208172284, 0.058176705775998983, 0.12090098763016977]"
9,0.00557744642566,"[0.12865587361184971, 0.31478367708020183, 0.42354134619577788, 0.68024688360469121, 0.7065101858709308, 0.12228673768345211, 0.8875862820817054, 0.22604700862203742, 0.17276606720361531, 0.10705526031755691, 0.24321571650833168, 0.05661741989593594, 0.53241064208172284, 0.058176705775998983, 0.12090098763016977]"
