iteration, fitness, params
0,0.00320156602643,"[ 0.25296655  0.45320147  0.65660464  0.51893045  0.54814179  0.64552718
  0.08434919  0.40289784  0.58321053  0.41650343  0.91087517  0.57690654
  0.0101102   0.66618915  0.03309907]"
1,0.00320714745688,"[0.6587723591463834, 0.39324066090585491, 0.41554787915928409, 0.34337599111236489, 0.9770949394782312, 0.53544528667741476, 0.13697083512121622, 0.52184648426945524, 0.00378726538838714, 0.005048447191131178, 0.14335182271567015, 0.38556693806012121, 0.057237023071924076, 0.71729993713780815, 0.17914694686540888]"
2,0.00320714745688,"[0.6587723591463834, 0.39324066090585491, 0.41554787915928409, 0.34337599111236489, 0.9770949394782312, 0.53544528667741476, 0.13697083512121622, 0.52184648426945524, 0.00378726538838714, 0.005048447191131178, 0.14335182271567015, 0.38556693806012121, 0.057237023071924076, 0.71729993713780815, 0.17914694686540888]"
3,0.00353855449879,"[0.4483363671792149, 0.40940248132100948, 0.099633783035029011, 0.54798806352906115, 0.59579215495121873, 0.49712215442581265, 0.3821471977271029, 0.35046849434273342, 0.9537592609181904, 0.70146223722539824, 1.0, 0.6000958991088338, 0.84035854071480487, 0.525286953734587, 1.0]"
4,0.00426049934801,"[0.4643036907462067, 0.40438760961224596, 0.36878699079373145, 0.60296902407784203, 0.68617468079589394, 0.94236754460316807, 0.093528152481548776, 0.56746920801804435, 0.5135329455107388, 0.06856604404635591, 0.76444732669866677, 0.28489257689428521, 0.40782372597356953, 0.5198994304313798, 0.90727266349293012]"
5,0.00426049934801,"[0.4643036907462067, 0.40438760961224596, 0.36878699079373145, 0.60296902407784203, 0.68617468079589394, 0.94236754460316807, 0.093528152481548776, 0.56746920801804435, 0.5135329455107388, 0.06856604404635591, 0.76444732669866677, 0.28489257689428521, 0.40782372597356953, 0.5198994304313798, 0.90727266349293012]"
6,0.00426049934801,"[0.4643036907462067, 0.40438760961224596, 0.36878699079373145, 0.60296902407784203, 0.68617468079589394, 0.94236754460316807, 0.093528152481548776, 0.56746920801804435, 0.5135329455107388, 0.06856604404635591, 0.76444732669866677, 0.28489257689428521, 0.40782372597356953, 0.5198994304313798, 0.90727266349293012]"
7,0.00426049934801,"[0.4643036907462067, 0.40438760961224596, 0.36878699079373145, 0.60296902407784203, 0.68617468079589394, 0.94236754460316807, 0.093528152481548776, 0.56746920801804435, 0.5135329455107388, 0.06856604404635591, 0.76444732669866677, 0.28489257689428521, 0.40782372597356953, 0.5198994304313798, 0.90727266349293012]"
8,0.00426049934801,"[0.4643036907462067, 0.40438760961224596, 0.36878699079373145, 0.60296902407784203, 0.68617468079589394, 0.94236754460316807, 0.093528152481548776, 0.56746920801804435, 0.5135329455107388, 0.06856604404635591, 0.76444732669866677, 0.28489257689428521, 0.40782372597356953, 0.5198994304313798, 0.90727266349293012]"
9,0.00426049934801,"[0.4643036907462067, 0.40438760961224596, 0.36878699079373145, 0.60296902407784203, 0.68617468079589394, 0.94236754460316807, 0.093528152481548776, 0.56746920801804435, 0.5135329455107388, 0.06856604404635591, 0.76444732669866677, 0.28489257689428521, 0.40782372597356953, 0.5198994304313798, 0.90727266349293012]"
