iteration, fitness, params
0,0.00412375168608,"[ 0.31913773  0.56349612  0.17621982  0.28562038  0.64409549  0.59728648
  0.1325653   0.26038073  0.00347984  0.237678    0.46205007  0.66853274
  0.15711237  0.49728168  0.63938017]"
1,0.00412375168608,"[ 0.31913773  0.56349612  0.17621982  0.28562038  0.64409549  0.59728648
  0.1325653   0.26038073  0.00347984  0.237678    0.46205007  0.66853274
  0.15711237  0.49728168  0.63938017]"
2,0.00412375168608,"[ 0.31913773  0.56349612  0.17621982  0.28562038  0.64409549  0.59728648
  0.1325653   0.26038073  0.00347984  0.237678    0.46205007  0.66853274
  0.15711237  0.49728168  0.63938017]"
3,0.00412375168608,"[ 0.31913773  0.56349612  0.17621982  0.28562038  0.64409549  0.59728648
  0.1325653   0.26038073  0.00347984  0.237678    0.46205007  0.66853274
  0.15711237  0.49728168  0.63938017]"
4,0.00416341875872,"[0.6314206374182327, 0.85291265710532727, 0.9236865344057346, 0.38038831312584348, 0.15603571231142938, 0.26008309500580401, 0.41405077696898024, 0.09154088797810211, 0.30946358643979816, 0.053474066211209426, 0.013720364771914573, 0.5818158793782159, 0.2862692120850945, 0.8891246311549625, 0.087478746545252006]"
5,0.00448544133,"[0.205206090338665, 1.0, 0.62682870735374097, 0.51308237914495003, 0.080163915081004677, 0.003125358077878837, 1.0, 0.024405216809281816, 0.37841340193906509, 0.46692353225034933, 0.6096953158640985, 0.7134805805718042, 0.4311674033027232, 0.98442434790963607, 0.25031999620333506]"
6,0.00448544133,"[0.205206090338665, 1.0, 0.62682870735374097, 0.51308237914495003, 0.080163915081004677, 0.003125358077878837, 1.0, 0.024405216809281816, 0.37841340193906509, 0.46692353225034933, 0.6096953158640985, 0.7134805805718042, 0.4311674033027232, 0.98442434790963607, 0.25031999620333506]"
7,0.00448544133,"[0.205206090338665, 1.0, 0.62682870735374097, 0.51308237914495003, 0.080163915081004677, 0.003125358077878837, 1.0, 0.024405216809281816, 0.37841340193906509, 0.46692353225034933, 0.6096953158640985, 0.7134805805718042, 0.4311674033027232, 0.98442434790963607, 0.25031999620333506]"
8,0.00448544133,"[0.205206090338665, 1.0, 0.62682870735374097, 0.51308237914495003, 0.080163915081004677, 0.003125358077878837, 1.0, 0.024405216809281816, 0.37841340193906509, 0.46692353225034933, 0.6096953158640985, 0.7134805805718042, 0.4311674033027232, 0.98442434790963607, 0.25031999620333506]"
9,0.00456653693355,"[0.013864385491328235, 1.0, 1.0, 0.38105460250102269, 0.8810367967235827, 0.2971815097181, 0.8447165828564459, 0.16134514560895291, 0.68702312947798339, 0.5191758741152926, 0.62395095868390915, 0.50247711046683907, 0.1138305188201969, 0.64883665724303508, 0.6072904435070671]"
