iteration, fitness, params
0,0.00373052557979,"[ 0.34670795  0.66674313  0.62989069  0.8801067   0.06816564  0.03527166
  0.43821327  0.31895191  0.27100254  0.96263087  0.01381382  0.10753418
  0.20789306  0.01871802  0.96531938]"
1,0.00373052557979,"[ 0.34670795  0.66674313  0.62989069  0.8801067   0.06816564  0.03527166
  0.43821327  0.31895191  0.27100254  0.96263087  0.01381382  0.10753418
  0.20789306  0.01871802  0.96531938]"
2,0.0038890444408,"[0.6737602400991012, 1.0, 0.24717594971001422, 0.41150438022975744, 0.43876132530676243, 0.3713012448618713, 0.10350182291905302, 0.37876289503020966, 0.6598961369836523, 0.03942937573378047, 0.46194903697835976, 0.028558656183311659, 0.8743914486976732, 0.16289420933270227, 0.87704830410598178]"
3,0.0038890444408,"[0.6737602400991012, 1.0, 0.24717594971001422, 0.41150438022975744, 0.43876132530676243, 0.3713012448618713, 0.10350182291905302, 0.37876289503020966, 0.6598961369836523, 0.03942937573378047, 0.46194903697835976, 0.028558656183311659, 0.8743914486976732, 0.16289420933270227, 0.87704830410598178]"
4,0.00415843911091,"[0.39201329439190358, 0.82797420981846381, 0.12627415866376185, 0.018529993793432398, 0.85630037092416367, 0.08823751142820047, 0.8402141641840699, 0.13428352491329049, 0.33481131576536616, 0.48600951863564806, 0.17404276343071845, 0.863507660467989, 0.23575574514574454, 0.021072410919663498, 0.582365080909583]"
5,0.00528604926462,"[0.61697998835468693, 0.56813389907357648, 0.362902914696853, 0.22288368083523891, 0.13295813636230014, 0.20746167703059593, 0.4448574945879068, 0.064570329128499027, 0.05122303506549852, 0.63101356768035077, 1.0, 0.7513087601654148, 0.12412793073976447, 0.23431803837031467, 0.75656746527050034]"
6,0.00528604926462,"[0.61697998835468693, 0.56813389907357648, 0.362902914696853, 0.22288368083523891, 0.13295813636230014, 0.20746167703059593, 0.4448574945879068, 0.064570329128499027, 0.05122303506549852, 0.63101356768035077, 1.0, 0.7513087601654148, 0.12412793073976447, 0.23431803837031467, 0.75656746527050034]"
7,0.00528604926462,"[0.61697998835468693, 0.56813389907357648, 0.362902914696853, 0.22288368083523891, 0.13295813636230014, 0.20746167703059593, 0.4448574945879068, 0.064570329128499027, 0.05122303506549852, 0.63101356768035077, 1.0, 0.7513087601654148, 0.12412793073976447, 0.23431803837031467, 0.75656746527050034]"
8,0.00528604926462,"[0.61697998835468693, 0.56813389907357648, 0.362902914696853, 0.22288368083523891, 0.13295813636230014, 0.20746167703059593, 0.4448574945879068, 0.064570329128499027, 0.05122303506549852, 0.63101356768035077, 1.0, 0.7513087601654148, 0.12412793073976447, 0.23431803837031467, 0.75656746527050034]"
9,0.00528604926462,"[0.61697998835468693, 0.56813389907357648, 0.362902914696853, 0.22288368083523891, 0.13295813636230014, 0.20746167703059593, 0.4448574945879068, 0.064570329128499027, 0.05122303506549852, 0.63101356768035077, 1.0, 0.7513087601654148, 0.12412793073976447, 0.23431803837031467, 0.75656746527050034]"
