iteration, fitness, params
0,0.00331974682687,"[ 0.22908797  0.97507321  0.08208394  0.2048642   0.81900838  0.50703852
  0.01233218  0.06429962  0.78504681  0.30710751  0.49974963  0.53628999
  0.6109953   0.79792434  0.21400275]"
1,0.00377038452069,"[0.3099607187220942, 0.44558023429186622, 0.03956834886282112, 0.24077140751406889, 0.2889765594258228, 0.45234247116312243, 0.43205467902893235, 0.22463901407304371, 0.45919245475103648, 0.051601949951240345, 0.56206148778913345, 0.82683058504602425, 0.07245049521168373, 0.14024493055967857, 0.32130842113963892]"
2,0.00432696342211,"[0.05208822611108377, 0.45553619187271011, 0.6273389366600906, 0.47182558646338424, 0.49441738061736706, 0.21484881044511328, 0.73622063978669261, 0.28294589098645412, 0.5423867712188672, 0.020248497218290584, 0.41321595195189348, 0.43580516249041784, 0.074713009545893605, 0.29037264851090561, 0.9652062994499032]"
3,0.00432696342211,"[0.05208822611108377, 0.45553619187271011, 0.6273389366600906, 0.47182558646338424, 0.49441738061736706, 0.21484881044511328, 0.73622063978669261, 0.28294589098645412, 0.5423867712188672, 0.020248497218290584, 0.41321595195189348, 0.43580516249041784, 0.074713009545893605, 0.29037264851090561, 0.9652062994499032]"
4,0.00432696342211,"[0.05208822611108377, 0.45553619187271011, 0.6273389366600906, 0.47182558646338424, 0.49441738061736706, 0.21484881044511328, 0.73622063978669261, 0.28294589098645412, 0.5423867712188672, 0.020248497218290584, 0.41321595195189348, 0.43580516249041784, 0.074713009545893605, 0.29037264851090561, 0.9652062994499032]"
5,0.00432696342211,"[0.05208822611108377, 0.45553619187271011, 0.6273389366600906, 0.47182558646338424, 0.49441738061736706, 0.21484881044511328, 0.73622063978669261, 0.28294589098645412, 0.5423867712188672, 0.020248497218290584, 0.41321595195189348, 0.43580516249041784, 0.074713009545893605, 0.29037264851090561, 0.9652062994499032]"
6,0.00432696342211,"[0.05208822611108377, 0.45553619187271011, 0.6273389366600906, 0.47182558646338424, 0.49441738061736706, 0.21484881044511328, 0.73622063978669261, 0.28294589098645412, 0.5423867712188672, 0.020248497218290584, 0.41321595195189348, 0.43580516249041784, 0.074713009545893605, 0.29037264851090561, 0.9652062994499032]"
7,0.00432696342211,"[0.05208822611108377, 0.45553619187271011, 0.6273389366600906, 0.47182558646338424, 0.49441738061736706, 0.21484881044511328, 0.73622063978669261, 0.28294589098645412, 0.5423867712188672, 0.020248497218290584, 0.41321595195189348, 0.43580516249041784, 0.074713009545893605, 0.29037264851090561, 0.9652062994499032]"
