iteration, fitness, params
0,0.00301098454705,"[ 0.1994149   0.42467831  0.94524215  0.17452467  0.89088666  0.58657459
  0.11691461  0.11611939  0.35620408  0.44172266  0.98199981  0.64212104
  0.94057582  0.77262741  0.29238449]"
1,0.00307883807328,"[0.31424314384838387, 0.40075226653232343, 0.21088559673244434, 0.24725952282905939, 0.57468826165287257, 0.13840536335513276, 0.84720234522517646, 0.065561696939244907, 0.44764574829628995, 1.0, 0.16411370153878391, 0.6810739052291988, 0.5314508652194201, 0.3487269309668629, 0.67981200929079011]"
2,0.00374131982696,"[0.39186707495927103, 0.47511501043491861, 0.92277257893454068, 0.01532056732466347, 0.052509097010283001, 0.17744941360964872, 0.81738047558584337, 0.20045972234189302, 0.7592057577762795, 0.2444912734395725, 0.8797944232766733, 0.6795989328326922, 0.3908497609972218, 0.762549481313691, 0.25259341062875446]"
3,0.00403942308533,"[0.5097403331266139, 0.35342631567528593, 0.67289321399581037, 0.10705448799685374, 0.6968038623921727, 0.61553480826830165, 0.11032084981116463, 0.048389522978502242, 0.93519953997844374, 0.2869238431933475, 0.35765818564056795, 0.69208125320694913, 0.70261861834488415, 0.72837777677535875, 0.59243998957107125]"
4,0.00403942308533,"[0.5097403331266139, 0.35342631567528593, 0.67289321399581037, 0.10705448799685374, 0.6968038623921727, 0.61553480826830165, 0.11032084981116463, 0.048389522978502242, 0.93519953997844374, 0.2869238431933475, 0.35765818564056795, 0.69208125320694913, 0.70261861834488415, 0.72837777677535875, 0.59243998957107125]"
5,0.00413611611914,"[0.0080549374698189458, 0.44157653031091981, 0.68630338833261351, 0.46989630795894333, 0.51789690711887726, 0.5019594711625884, 0.09318626234667604, 0.28796347105570869, 0.08249603280993212, 0.04221589403360393, 0.23570825533808876, 0.016722880721736666, 0.13539059249207253, 0.4181417869669034, 0.31466059104962774]"
6,0.00413611611914,"[0.0080549374698189458, 0.44157653031091981, 0.68630338833261351, 0.46989630795894333, 0.51789690711887726, 0.5019594711625884, 0.09318626234667604, 0.28796347105570869, 0.08249603280993212, 0.04221589403360393, 0.23570825533808876, 0.016722880721736666, 0.13539059249207253, 0.4181417869669034, 0.31466059104962774]"
7,0.00413611611914,"[0.0080549374698189458, 0.44157653031091981, 0.68630338833261351, 0.46989630795894333, 0.51789690711887726, 0.5019594711625884, 0.09318626234667604, 0.28796347105570869, 0.08249603280993212, 0.04221589403360393, 0.23570825533808876, 0.016722880721736666, 0.13539059249207253, 0.4181417869669034, 0.31466059104962774]"
8,0.00413611611914,"[0.0080549374698189458, 0.44157653031091981, 0.68630338833261351, 0.46989630795894333, 0.51789690711887726, 0.5019594711625884, 0.09318626234667604, 0.28796347105570869, 0.08249603280993212, 0.04221589403360393, 0.23570825533808876, 0.016722880721736666, 0.13539059249207253, 0.4181417869669034, 0.31466059104962774]"
9,0.00413611611914,"[0.0080549374698189458, 0.44157653031091981, 0.68630338833261351, 0.46989630795894333, 0.51789690711887726, 0.5019594711625884, 0.09318626234667604, 0.28796347105570869, 0.08249603280993212, 0.04221589403360393, 0.23570825533808876, 0.016722880721736666, 0.13539059249207253, 0.4181417869669034, 0.31466059104962774]"
