iteration, fitness, params
0,0.00445583199381,"[ 0.34892948  0.71586582  0.16544012  0.26625079  0.88569006  0.1304628
  0.74011884  0.42236019  0.3987369   0.1752988   0.93840658  0.57366819
  0.13668605  0.48472661  0.0034262 ]"
1,0.00445583199381,"[ 0.34892948  0.71586582  0.16544012  0.26625079  0.88569006  0.1304628
  0.74011884  0.42236019  0.3987369   0.1752988   0.93840658  0.57366819
  0.13668605  0.48472661  0.0034262 ]"
2,0.00445583199381,"[ 0.34892948  0.71586582  0.16544012  0.26625079  0.88569006  0.1304628
  0.74011884  0.42236019  0.3987369   0.1752988   0.93840658  0.57366819
  0.13668605  0.48472661  0.0034262 ]"
3,0.00445583199381,"[ 0.34892948  0.71586582  0.16544012  0.26625079  0.88569006  0.1304628
  0.74011884  0.42236019  0.3987369   0.1752988   0.93840658  0.57366819
  0.13668605  0.48472661  0.0034262 ]"
4,0.00473198903465,"[0.76734123239866192, 0.65987407865456205, 0.3042689679100564, 0.061658022799005563, 0.9302325510584637, 0.7198196888236744, 0.065559416954432237, 0.11177638997469591, 0.7902855888528059, 0.18097895841664235, 0.69862878473917922, 0.68774780400837887, 0.82533659063217368, 0.9349636266337845, 0.5629152407770766]"
5,0.00473198903465,"[0.76734123239866192, 0.65987407865456205, 0.3042689679100564, 0.061658022799005563, 0.9302325510584637, 0.7198196888236744, 0.065559416954432237, 0.11177638997469591, 0.7902855888528059, 0.18097895841664235, 0.69862878473917922, 0.68774780400837887, 0.82533659063217368, 0.9349636266337845, 0.5629152407770766]"
6,0.00473198903465,"[0.76734123239866192, 0.65987407865456205, 0.3042689679100564, 0.061658022799005563, 0.9302325510584637, 0.7198196888236744, 0.065559416954432237, 0.11177638997469591, 0.7902855888528059, 0.18097895841664235, 0.69862878473917922, 0.68774780400837887, 0.82533659063217368, 0.9349636266337845, 0.5629152407770766]"
7,0.00473198903465,"[0.76734123239866192, 0.65987407865456205, 0.3042689679100564, 0.061658022799005563, 0.9302325510584637, 0.7198196888236744, 0.065559416954432237, 0.11177638997469591, 0.7902855888528059, 0.18097895841664235, 0.69862878473917922, 0.68774780400837887, 0.82533659063217368, 0.9349636266337845, 0.5629152407770766]"
8,0.00473198903465,"[0.76734123239866192, 0.65987407865456205, 0.3042689679100564, 0.061658022799005563, 0.9302325510584637, 0.7198196888236744, 0.065559416954432237, 0.11177638997469591, 0.7902855888528059, 0.18097895841664235, 0.69862878473917922, 0.68774780400837887, 0.82533659063217368, 0.9349636266337845, 0.5629152407770766]"
9,0.00473198903465,"[0.76734123239866192, 0.65987407865456205, 0.3042689679100564, 0.061658022799005563, 0.9302325510584637, 0.7198196888236744, 0.065559416954432237, 0.11177638997469591, 0.7902855888528059, 0.18097895841664235, 0.69862878473917922, 0.68774780400837887, 0.82533659063217368, 0.9349636266337845, 0.5629152407770766]"
