iteration, fitness, params
0,0.00191307020637,"[  4.30229658e-01   4.82835085e-01   4.31668803e-01   1.32175664e-01
   4.50444372e-04   4.11346520e-01   7.39837727e-01   9.42581157e-01
   8.94522063e-01   1.78259939e-01   8.89019961e-01   6.22867144e-01
   2.42463708e-01   4.69504462e-01   2.06604553e-01]"
1,0.00281273918616,"[0.9715992516671644, 0.46851341168568, 0.44075184193283112, 0.53163264156281587, 0.677833718457816, 0.4599974985984801, 0.4673435438102894, 0.04410730974771482, 0.4592956038180457, 0.26447854529541404, 0.73522197969552483, 0.67920740425263615, 0.7077359912542552, 0.78481840891035537, 0.64905627315276726]"
2,0.00301031533824,"[0.35921125197596954, 0.59477820370990175, 0.10743525037523138, 0.79465795747396029, 0.60044393475796687, 0.9148187707497947, 0.1369406441226756, 0.089118380502570982, 0.9983585163926635, 0.6299817481731154, 0.9681238822624745, 0.51249251319274935, 0.57377943783768814, 0.67212168128769201, 0.57378219076665671]"
3,0.00301031533824,"[0.35921125197596954, 0.59477820370990175, 0.10743525037523138, 0.79465795747396029, 0.60044393475796687, 0.9148187707497947, 0.1369406441226756, 0.089118380502570982, 0.9983585163926635, 0.6299817481731154, 0.9681238822624745, 0.51249251319274935, 0.57377943783768814, 0.67212168128769201, 0.57378219076665671]"
4,0.00399826849073,"[0.54395433181764652, 0.66171283188678776, 0.80360007907574293, 0.7822375513620025, 0.010447415429031159, 0.14349273283532782, 0.35466796010503765, 0.16551798704016274, 0.5439155313533125, 0.7701310251708325, 1.0, 0.5166376681341962, 0.1332207177616478, 0.2841850075157716, 0.16512408356564245]"
5,0.00399826849073,"[0.54395433181764652, 0.66171283188678776, 0.80360007907574293, 0.7822375513620025, 0.010447415429031159, 0.14349273283532782, 0.35466796010503765, 0.16551798704016274, 0.5439155313533125, 0.7701310251708325, 1.0, 0.5166376681341962, 0.1332207177616478, 0.2841850075157716, 0.16512408356564245]"
6,0.00399826849073,"[0.54395433181764652, 0.66171283188678776, 0.80360007907574293, 0.7822375513620025, 0.010447415429031159, 0.14349273283532782, 0.35466796010503765, 0.16551798704016274, 0.5439155313533125, 0.7701310251708325, 1.0, 0.5166376681341962, 0.1332207177616478, 0.2841850075157716, 0.16512408356564245]"
7,0.00399826849073,"[0.54395433181764652, 0.66171283188678776, 0.80360007907574293, 0.7822375513620025, 0.010447415429031159, 0.14349273283532782, 0.35466796010503765, 0.16551798704016274, 0.5439155313533125, 0.7701310251708325, 1.0, 0.5166376681341962, 0.1332207177616478, 0.2841850075157716, 0.16512408356564245]"
8,0.00399826849073,"[0.54395433181764652, 0.66171283188678776, 0.80360007907574293, 0.7822375513620025, 0.010447415429031159, 0.14349273283532782, 0.35466796010503765, 0.16551798704016274, 0.5439155313533125, 0.7701310251708325, 1.0, 0.5166376681341962, 0.1332207177616478, 0.2841850075157716, 0.16512408356564245]"
9,0.00399826849073,"[0.54395433181764652, 0.66171283188678776, 0.80360007907574293, 0.7822375513620025, 0.010447415429031159, 0.14349273283532782, 0.35466796010503765, 0.16551798704016274, 0.5439155313533125, 0.7701310251708325, 1.0, 0.5166376681341962, 0.1332207177616478, 0.2841850075157716, 0.16512408356564245]"
