iteration, fitness, params
0,0.00394271319269,"[ 0.10670808  0.81079323  0.29211854  0.48301687  0.75874003  0.44202228
  0.86217651  0.14794822  0.57048107  0.45479698  0.00299306  0.53264978
  0.34601342  0.07192257  0.23347187]"
1,0.00394271319269,"[ 0.10670808  0.81079323  0.29211854  0.48301687  0.75874003  0.44202228
  0.86217651  0.14794822  0.57048107  0.45479698  0.00299306  0.53264978
  0.34601342  0.07192257  0.23347187]"
2,0.00394271319269,"[ 0.10670808  0.81079323  0.29211854  0.48301687  0.75874003  0.44202228
  0.86217651  0.14794822  0.57048107  0.45479698  0.00299306  0.53264978
  0.34601342  0.07192257  0.23347187]"
3,0.00425498560921,"[0.13486647124870133, 0.55461227245357558, 0.81429214850612786, 0.62729932595415039, 0.6352729083427887, 0.23890317711128622, 0.48755928799717185, 0.38474007438324159, 0.29010244498945476, 1.0, 0.40025322614499315, 0.39024121861220146, 0.2103605099886029, 0.23089496275490207, 0.6293123087780617]"
4,0.00425498560921,"[0.13486647124870133, 0.55461227245357558, 0.81429214850612786, 0.62729932595415039, 0.6352729083427887, 0.23890317711128622, 0.48755928799717185, 0.38474007438324159, 0.29010244498945476, 1.0, 0.40025322614499315, 0.39024121861220146, 0.2103605099886029, 0.23089496275490207, 0.6293123087780617]"
5,0.00431794698397,"[0.64433809942284981, 0.96247917257306315, 0.66034648086065451, 0.7206853170301254, 0.4765988665796017, 0.4466127911648311, 0.98446431705003667, 0.0063261587931293661, 0.18277370534162385, 0.58243153542923887, 0.78165956023745631, 0.27171886521242783, 0.6654242473683994, 0.052249661655339119, 0.4363517616592868]"
6,0.00431794698397,"[0.64433809942284981, 0.96247917257306315, 0.66034648086065451, 0.7206853170301254, 0.4765988665796017, 0.4466127911648311, 0.98446431705003667, 0.0063261587931293661, 0.18277370534162385, 0.58243153542923887, 0.78165956023745631, 0.27171886521242783, 0.6654242473683994, 0.052249661655339119, 0.4363517616592868]"
7,0.00431794698397,"[0.64433809942284981, 0.96247917257306315, 0.66034648086065451, 0.7206853170301254, 0.4765988665796017, 0.4466127911648311, 0.98446431705003667, 0.0063261587931293661, 0.18277370534162385, 0.58243153542923887, 0.78165956023745631, 0.27171886521242783, 0.6654242473683994, 0.052249661655339119, 0.4363517616592868]"
8,0.00431794698397,"[0.64433809942284981, 0.96247917257306315, 0.66034648086065451, 0.7206853170301254, 0.4765988665796017, 0.4466127911648311, 0.98446431705003667, 0.0063261587931293661, 0.18277370534162385, 0.58243153542923887, 0.78165956023745631, 0.27171886521242783, 0.6654242473683994, 0.052249661655339119, 0.4363517616592868]"
9,0.00431794698397,"[0.64433809942284981, 0.96247917257306315, 0.66034648086065451, 0.7206853170301254, 0.4765988665796017, 0.4466127911648311, 0.98446431705003667, 0.0063261587931293661, 0.18277370534162385, 0.58243153542923887, 0.78165956023745631, 0.27171886521242783, 0.6654242473683994, 0.052249661655339119, 0.4363517616592868]"
