iteration, fitness, params
0,0.00444579792008,"[ 0.67794088  0.57457396  0.41430178  0.49119995  0.17895377  0.50062793
  0.85206348  0.10207608  0.54318143  0.62961003  0.84827918  0.42543727
  0.4578579   0.30138882  0.46065495]"
1,0.00444579792008,"[ 0.67794088  0.57457396  0.41430178  0.49119995  0.17895377  0.50062793
  0.85206348  0.10207608  0.54318143  0.62961003  0.84827918  0.42543727
  0.4578579   0.30138882  0.46065495]"
2,0.00506557123178,"[0.420510521192898, 0.7880628214441158, 0.44761566478372317, 0.2351261842651875, 0.029314390044225425, 0.4328445996050681, 0.45396710727588296, 0.3360796098222619, 0.62048510951764202, 0.88829751445264793, 0.60950101586234684, 0.66996160168929642, 0.8181192843033666, 0.36338660612562101, 1.0]"
3,0.00506557123178,"[0.420510521192898, 0.7880628214441158, 0.44761566478372317, 0.2351261842651875, 0.029314390044225425, 0.4328445996050681, 0.45396710727588296, 0.3360796098222619, 0.62048510951764202, 0.88829751445264793, 0.60950101586234684, 0.66996160168929642, 0.8181192843033666, 0.36338660612562101, 1.0]"
4,0.00506557123178,"[0.420510521192898, 0.7880628214441158, 0.44761566478372317, 0.2351261842651875, 0.029314390044225425, 0.4328445996050681, 0.45396710727588296, 0.3360796098222619, 0.62048510951764202, 0.88829751445264793, 0.60950101586234684, 0.66996160168929642, 0.8181192843033666, 0.36338660612562101, 1.0]"
5,0.00506557123178,"[0.420510521192898, 0.7880628214441158, 0.44761566478372317, 0.2351261842651875, 0.029314390044225425, 0.4328445996050681, 0.45396710727588296, 0.3360796098222619, 0.62048510951764202, 0.88829751445264793, 0.60950101586234684, 0.66996160168929642, 0.8181192843033666, 0.36338660612562101, 1.0]"
6,0.00506557123178,"[0.420510521192898, 0.7880628214441158, 0.44761566478372317, 0.2351261842651875, 0.029314390044225425, 0.4328445996050681, 0.45396710727588296, 0.3360796098222619, 0.62048510951764202, 0.88829751445264793, 0.60950101586234684, 0.66996160168929642, 0.8181192843033666, 0.36338660612562101, 1.0]"
7,0.00592506453727,"[0.35038576122621246, 1.0, 0.4962675977543784, 0.36025314524448188, 0.7595608682075697, 0.54698280657948661, 0.63757622947966675, 0.2610396619702622, 0.44394900520155112, 0.87179136679543312, 0.3943265829346847, 0.288032170835976, 0.77129781302069367, 0.35053203408256517, 0.08102141107788918]"
8,0.00592506453727,"[0.35038576122621246, 1.0, 0.4962675977543784, 0.36025314524448188, 0.7595608682075697, 0.54698280657948661, 0.63757622947966675, 0.2610396619702622, 0.44394900520155112, 0.87179136679543312, 0.3943265829346847, 0.288032170835976, 0.77129781302069367, 0.35053203408256517, 0.08102141107788918]"
9,0.00592506453727,"[0.35038576122621246, 1.0, 0.4962675977543784, 0.36025314524448188, 0.7595608682075697, 0.54698280657948661, 0.63757622947966675, 0.2610396619702622, 0.44394900520155112, 0.87179136679543312, 0.3943265829346847, 0.288032170835976, 0.77129781302069367, 0.35053203408256517, 0.08102141107788918]"
