iteration, fitness, params
0,0.00481379590588,"[ 0.16844473  0.46929305  0.39064465  0.47580127  0.48933289  0.15255668
  0.00878101  0.01713923  0.03488713  0.09492906  0.07921698  0.18424483
  0.05876042  0.10764784  0.45099429]"
1,0.00504160764656,"[0.13767468719058784, 0.58117235104750975, 0.60459273889864829, 0.1490527450829381, 0.10033226275311158, 0.020945642690635202, 0.8066157570558791, 0.084926737240182903, 0.31935575282591622, 0.61001484054372368, 0.98355727686719718, 0.33493152461137476, 0.96885680538336971, 0.31770706540887589, 0.23810479285725289]"
2,0.00622343142677,"[0.041792100948937427, 0.5494043745166193, 0.56678488115496561, 0.13345177574017486, 0.069768399102256184, 0.31800789636350907, 0.1177797055855711, 0.20529964030966408, 0.7636973015137911, 0.5266212997545555, 0.090505188227852806, 0.54261768194529769, 0.072872493477665556, 0.20840305848490159, 0.56153665331699187]"
3,0.00622343142677,"[0.041792100948937427, 0.5494043745166193, 0.56678488115496561, 0.13345177574017486, 0.069768399102256184, 0.31800789636350907, 0.1177797055855711, 0.20529964030966408, 0.7636973015137911, 0.5266212997545555, 0.090505188227852806, 0.54261768194529769, 0.072872493477665556, 0.20840305848490159, 0.56153665331699187]"
4,0.00637726059758,"[0.03218272938793265, 0.47239372101347576, 0.04933924701415826, 0.2702366115534697, 0.19419969183701885, 0.2532740908008596, 0.31825344224617635, 0.13940636459891664, 0.13497385103827486, 0.552321441479945, 0.055908500865336941, 0.17948616872332523, 0.06376209686485057, 0.13804467548753729, 0.41678671725097688]"
5,0.00637726059758,"[0.03218272938793265, 0.47239372101347576, 0.04933924701415826, 0.2702366115534697, 0.19419969183701885, 0.2532740908008596, 0.31825344224617635, 0.13940636459891664, 0.13497385103827486, 0.552321441479945, 0.055908500865336941, 0.17948616872332523, 0.06376209686485057, 0.13804467548753729, 0.41678671725097688]"
6,0.00637726059758,"[0.03218272938793265, 0.47239372101347576, 0.04933924701415826, 0.2702366115534697, 0.19419969183701885, 0.2532740908008596, 0.31825344224617635, 0.13940636459891664, 0.13497385103827486, 0.552321441479945, 0.055908500865336941, 0.17948616872332523, 0.06376209686485057, 0.13804467548753729, 0.41678671725097688]"
7,0.00637726059758,"[0.03218272938793265, 0.47239372101347576, 0.04933924701415826, 0.2702366115534697, 0.19419969183701885, 0.2532740908008596, 0.31825344224617635, 0.13940636459891664, 0.13497385103827486, 0.552321441479945, 0.055908500865336941, 0.17948616872332523, 0.06376209686485057, 0.13804467548753729, 0.41678671725097688]"
8,0.00637726059758,"[0.03218272938793265, 0.47239372101347576, 0.04933924701415826, 0.2702366115534697, 0.19419969183701885, 0.2532740908008596, 0.31825344224617635, 0.13940636459891664, 0.13497385103827486, 0.552321441479945, 0.055908500865336941, 0.17948616872332523, 0.06376209686485057, 0.13804467548753729, 0.41678671725097688]"
9,0.00637726059758,"[0.03218272938793265, 0.47239372101347576, 0.04933924701415826, 0.2702366115534697, 0.19419969183701885, 0.2532740908008596, 0.31825344224617635, 0.13940636459891664, 0.13497385103827486, 0.552321441479945, 0.055908500865336941, 0.17948616872332523, 0.06376209686485057, 0.13804467548753729, 0.41678671725097688]"
