iteration, fitness, params
0,0.00358045124832,"[ 0.38585493  0.5119199   0.39914402  0.08720544  0.19238945  0.35280196
  0.54181807  0.13158064  0.59764419  0.29329016  0.18567974  0.43385709
  0.5069934   0.56461632  0.44805085]"
1,0.00423463752186,"[0.40884043354060468, 0.5924999059907945, 0.6931691628888696, 0.17558514286382687, 0.12912438432225593, 0.5342248869599984, 0.15126456326036469, 0.12318986153396227, 0.6667763262220974, 0.16829756307709287, 0.38131413470426045, 0.39221487890548434, 0.62917612240836074, 0.025369473664850317, 0.52684400468051118]"
2,0.00423463752186,"[0.40884043354060468, 0.5924999059907945, 0.6931691628888696, 0.17558514286382687, 0.12912438432225593, 0.5342248869599984, 0.15126456326036469, 0.12318986153396227, 0.6667763262220974, 0.16829756307709287, 0.38131413470426045, 0.39221487890548434, 0.62917612240836074, 0.025369473664850317, 0.52684400468051118]"
3,0.00423463752186,"[0.40884043354060468, 0.5924999059907945, 0.6931691628888696, 0.17558514286382687, 0.12912438432225593, 0.5342248869599984, 0.15126456326036469, 0.12318986153396227, 0.6667763262220974, 0.16829756307709287, 0.38131413470426045, 0.39221487890548434, 0.62917612240836074, 0.025369473664850317, 0.52684400468051118]"
4,0.00487916699995,"[0.07660901555765665, 0.49142790308317946, 1.0, 0.40421066246793336, 0.45058378684826517, 0.17959531641656734, 0.20973107807568936, 0.062910798574164595, 0.49306068554519272, 0.35497238128599273, 0.34536101949469433, 0.42857223247393067, 0.56993485657081666, 0.63326812142295186, 0.4524232611962705]"
5,0.00487916699995,"[0.07660901555765665, 0.49142790308317946, 1.0, 0.40421066246793336, 0.45058378684826517, 0.17959531641656734, 0.20973107807568936, 0.062910798574164595, 0.49306068554519272, 0.35497238128599273, 0.34536101949469433, 0.42857223247393067, 0.56993485657081666, 0.63326812142295186, 0.4524232611962705]"
6,0.00487916699995,"[0.07660901555765665, 0.49142790308317946, 1.0, 0.40421066246793336, 0.45058378684826517, 0.17959531641656734, 0.20973107807568936, 0.062910798574164595, 0.49306068554519272, 0.35497238128599273, 0.34536101949469433, 0.42857223247393067, 0.56993485657081666, 0.63326812142295186, 0.4524232611962705]"
7,0.00487916699995,"[0.07660901555765665, 0.49142790308317946, 1.0, 0.40421066246793336, 0.45058378684826517, 0.17959531641656734, 0.20973107807568936, 0.062910798574164595, 0.49306068554519272, 0.35497238128599273, 0.34536101949469433, 0.42857223247393067, 0.56993485657081666, 0.63326812142295186, 0.4524232611962705]"
8,0.00487916699995,"[0.07660901555765665, 0.49142790308317946, 1.0, 0.40421066246793336, 0.45058378684826517, 0.17959531641656734, 0.20973107807568936, 0.062910798574164595, 0.49306068554519272, 0.35497238128599273, 0.34536101949469433, 0.42857223247393067, 0.56993485657081666, 0.63326812142295186, 0.4524232611962705]"
9,0.00487916699995,"[0.07660901555765665, 0.49142790308317946, 1.0, 0.40421066246793336, 0.45058378684826517, 0.17959531641656734, 0.20973107807568936, 0.062910798574164595, 0.49306068554519272, 0.35497238128599273, 0.34536101949469433, 0.42857223247393067, 0.56993485657081666, 0.63326812142295186, 0.4524232611962705]"
